id,title,creator,year,format,category,subcategory,difficulty,credibility,usefulness,status,source_link,tags
amazon-s-antitrust-paradox,Amazon's Antitrust Paradox,Lina Khan,2017,Law journal article,Internet and Big Tech History,Antitrust & regulation,Advanced,9,7,recommended,https://www.yalelawjournal.org/note/amazons-antitrust-paradox,antitrust; amazon; regulation; policy
competing-against-luck-jobs-to-be-done,Competing Against Luck (Jobs to Be Done),Clayton Christensen et al.,2016,Book,Product and Design,Jobs to be Done,Intermediate,8,8,reviewed,,jtbd; product; innovation; demand
ethereum-whitepaper,Ethereum Whitepaper,Vitalik Buterin,2014,Whitepaper,Crypto and Web3,Smart contracts,Advanced,9,7,reviewed,https://ethereum.org/en/whitepaper/,ethereum; smart-contracts; web3; whitepaper
acquired-tsmc,Acquired: TSMC,Acquired (Ben Gilbert & David Rosenthal),2021,Podcast episode,Hardware and Compute,Company deep-dive,Intermediate,8,8,recommended,,tsmc; foundry; acquired; strategy
acquired-nvidia,Acquired: NVIDIA,Acquired (Ben Gilbert & David Rosenthal),2022,Podcast episode,Hardware and Compute,Company deep-dive,Intermediate,8,8,recommended,,nvidia; gpu; cuda; ai-infrastructure
the-idea-factory-bell-labs-and-the-great-age-of-american-inn,The Idea Factory: Bell Labs and the Great Age of American Innovation,Jon Gertner,2012,Book,Hardware and Compute,Innovation history,Intermediate,9,7,recommended,,bell-labs; r-and-d; innovation; transistor
the-prize-the-epic-quest-for-oil-money-power,"The Prize: The Epic Quest for Oil, Money & Power",Daniel Yergin,1990,Book,"Climate, Energy, and Deep Tech",Energy history,Advanced,9,7,reviewed,,energy; oil; geopolitics; history
the-gitlab-handbook-all-remote,The GitLab Handbook (All-Remote),GitLab,2020,Public handbook,Future of Work and Labor,Remote operations,Beginner,8,8,reviewed,https://handbook.gitlab.com/handbook/company/culture/all-remote/,remote-work; handbook; async; operations
recoding-america,Recoding America,Jennifer Pahlka,2023,Book,"Defense, Gov, and Public Tech",Govtech,Intermediate,8,8,recommended,,govtech; state-capacity; delivery; policy
the-state-of-ai-report-2025,The State of AI Report 2025,Nathan Benaich / Air Street Capital,2025,Report,AI in Practice,State of the field,Intermediate,8,8,recommended,https://www.stateof.ai/,state-of-ai; market; compute; report
cathedral-and-the-bazaar,The Cathedral and the Bazaar,Eric S. Raymond,1999,Essay,Engineering and Systems,Open Source,Beginner,8,7,reviewed,http://www.catb.org/~esr/writings/cathedral-bazaar/,open-source; software-culture; linux; essay
naval-how-to-get-rich,How to Get Rich (without getting lucky),Naval Ravikant,2019,Podcast Series,Founder Mental Models,Leverage & Wealth,Beginner,7,8,recommended,https://nav.al/rich,leverage; wealth; mental-models; podcast
dieter-rams-ten-principles,Ten Principles for Good Design,Dieter Rams,,Reference,Product and Design,Design Philosophy,Beginner,8,7,reviewed,https://www.vitsoe.com/us/about/good-design,design; principles; minimalism; product-design
hackers-heroes-levy,Hackers: Heroes of the Computer Revolution,Steven Levy,1984,Book,Internet and Big Tech History,Computing Culture,Beginner,8,7,reviewed,,hacker-culture; computing-history; mit; personal-computing
the-innovators-isaacson,The Innovators,Walter Isaacson,2014,Book,Internet and Big Tech History,Computing History,Beginner,8,7,reviewed,https://www.penguinrandomhouse.com/books/617365/los-innovadores--the-innovators-by-walter-isaacson/,computing-history; innovation; collaboration; narrative
how-will-you-measure-your-life,How Will You Measure Your Life?,"Clayton M. Christensen, James Allworth, Karen Dillon",2012,Book,Founder Mental Models,Life and leadership,Beginner,8,7,reviewed,https://www.harpercollins.com/products/how-will-you-measure-your-life-clayton-m-christensenjames-allworthkaren-dillon,leadership; culture; christensen; book
what-you-do-is-who-you-are,What You Do Is Who You Are,Ben Horowitz,2019,Book,Founder Mental Models,Enterprise transformation,Intermediate,8,7,reviewed,https://www.harpercollins.com/products/what-you-do-is-who-you-are-ben-horowitz,culture; leadership; organization; book
cs221-ai-history,AI History (Stanford CS221: Artificial Intelligence),Stanford CS221 / Stanford Online,2021,Lecture (Video),AI Foundations,History of AI,Intermediate,9,6,reviewed,https://www.youtube.com/watch?v=z8fEXuH0mu0,ai-history; stanford; cs221; foundations
ai-engineer-conference,AI Engineer (Conferences & Talk Library),AI Engineer,,Conference / Video Hub,AI in Practice,Community & talks,Intermediate,7,8,recommended,https://www.ai.engineer,ai-engineering; llms; agents; conference; applied-ai
startup-com-documentary,Startup.com,"Chris Hegedus, Jehane Noujaim (dir.)",2001,Documentary,Documentary and Long-Form Media,Startup Stories,Beginner,8,7,recommended,,documentary; startups; dot-com; failure; co-founders
silicon-cowboys-documentary,Silicon Cowboys,Jason Cohen (dir.),2016,Documentary,Documentary and Long-Form Media,Startup Stories,Beginner,8,7,recommended,,documentary; startups; compaq; pc-history; competition
situational-awareness-the-decade-ahead,Situational Awareness: The Decade Ahead,Leopold Aschenbrenner,2024,Essay series,AI in Practice,AGI forecasting,Intermediate,7,8,recommended,https://situational-awareness.ai/,agi; scaling; timelines; national-security
superintelligence-paths-dangers-strategies,"Superintelligence: Paths, Dangers, Strategies",Nick Bostrom,2014,Book,AI in Practice,AI risk,Advanced,8,7,recommended,,ai-safety; x-risk; alignment; philosophy
on-the-dangers-of-stochastic-parrots,On the Dangers of Stochastic Parrots,"Bender, Gebru, McMillan-Major, Shmitchell",2021,Paper,AI Foundations,AI ethics,Advanced,8,7,reviewed,https://dl.acm.org/doi/10.1145/3442188.3445922,llms; ai-ethics; bias; critique
sparks-of-artificial-general-intelligence-early-experiments,Sparks of Artificial General Intelligence: Early experiments with GPT-4,Bubeck et al. (Microsoft Research),2023,Paper,AI Foundations,Capability evaluation,Advanced,8,7,reviewed,https://arxiv.org/abs/2303.12712,gpt-4; agi; evaluation; emergence
the-coming-wave,The Coming Wave,Mustafa Suleyman,2023,Book,AI in Practice,AI and society,Intermediate,8,7,reviewed,,ai-governance; biotech; containment; policy
it-s-time-to-build,It's Time to Build,Marc Andreessen,2020,Essay,Founder Mental Models,Builder culture,Beginner,8,7,recommended,https://a16z.com/its-time-to-build/,builder-culture; progress; institutions; agency
the-almanack-of-naval-ravikant,The Almanack of Naval Ravikant,Eric Jorgenson,2020,Book,Founder Mental Models,Wealth & judgment,Beginner,7,8,recommended,https://www.navalmanack.com/,naval; leverage; wealth; philosophy
obviously-awesome,Obviously Awesome,April Dunford,2019,Book,Product and Design,Positioning,Beginner,7,8,reviewed,,positioning; gtm; category; marketing
the-rise-of-worse-is-better,The Rise of Worse Is Better,Richard P. Gabriel,1991,Essay,Engineering and Systems,Design philosophy,Intermediate,8,7,reviewed,https://www.dreamsongs.com/RiseOfWorseIsBetter.html,design; simplicity; tradeoffs; philosophy
the-twelve-factor-app,The Twelve-Factor App,Adam Wiggins / Heroku,2011,Reference,Engineering and Systems,Cloud-native,Intermediate,8,7,reviewed,https://12factor.net/,cloud-native; devops; saas; architecture
the-age-of-surveillance-capitalism,The Age of Surveillance Capitalism,Shoshana Zuboff,2019,Book,Internet and Big Tech History,Tech critique,Advanced,8,7,reviewed,,surveillance; privacy; ad-tech; critique
weapons-of-math-destruction,Weapons of Math Destruction,Cathy O'Neil,2016,Book,AI in Practice,Algorithmic harm,Beginner,8,7,reviewed,,algorithmic-bias; fairness; ml; accountability
the-attention-merchants,The Attention Merchants,Tim Wu,2016,Book,Internet and Big Tech History,Attention economy,Intermediate,8,7,reviewed,,attention; media; advertising; history
the-beginning-of-infinity,The Beginning of Infinity,David Deutsch,2011,Book,Founder Mental Models,Epistemology & progress,Advanced,8,7,reviewed,,progress; epistemology; optimism; philosophy
the-scalability-trilemma,The Scalability Trilemma,Vitalik Buterin,2021,Essay / concept,Crypto and Web3,Scaling vs decentralization,Advanced,8,7,reviewed,,scalability; decentralization; rollups; trilemma
stripe-climate-advance-market-commitments-frontier,Stripe Climate & Advance Market Commitments (Frontier),Stripe / Frontier,2020,Initiative / essay,"Climate, Energy, and Deep Tech",Carbon removal,Intermediate,8,7,reviewed,https://stripe.com/climate,carbon-removal; amc; frontier; climate-tech
ai-superpowers-china-silicon-valley-and-the-new-world-order,"AI Superpowers: China, Silicon Valley, and the New World Order",Kai-Fu Lee,2018,Book,Global Tech and Non-US Ecosystems,China & US AI,Beginner,8,7,recommended,,china; ai; geopolitics; ecosystems
state-of-european-tech,State of European Tech,Atomico,2024,Annual report,Global Tech and Non-US Ecosystems,Europe,Beginner,8,7,reviewed,https://stateofeuropeantech.com/,europe; venture; ecosystem; data
unit-x-how-the-pentagon-and-silicon-valley-are-transforming,Unit X: How the Pentagon and Silicon Valley Are Transforming the Future of War,Raj M. Shah & Christopher Kirchhoff,2024,Book,"Defense, Gov, and Public Tech",Defense innovation,Intermediate,8,7,recommended,,defense-tech; pentagon; procurement; diu
the-kill-chain-defending-america-in-the-future-of-high-tech,The Kill Chain: Defending America in the Future of High-Tech Warfare,Christian Brose,2020,Book,"Defense, Gov, and Public Tech",Future of warfare,Intermediate,8,7,recommended,,defense; autonomy; software; strategy
the-gentle-singularity,The Gentle Singularity,Sam Altman,2025,Essay,AI in Practice,AI vision,Beginner,8,7,recommended,https://blog.samaltman.com/the-gentle-singularity,agi; optimism; openai; singularity
empire-of-ai,Empire of AI,Karen Hao,2025,Book,AI in Practice,Power & institutions,Beginner,8,7,recommended,,openai; power; labor; critique
nvidia-gtc-2026-keynote-the-age-of-physical-ai,NVIDIA GTC 2026 Keynote: The Age of Physical AI,Jensen Huang / NVIDIA,2026,Keynote,Hardware and Compute,Compute & robotics,Intermediate,8,7,recommended,https://www.nvidia.com/gtc/keynote/,nvidia; physical-ai; robotics; compute
the-genius-act,The GENIUS Act,U.S. Congress,2025,Legislation,Crypto and Web3,Regulation,Intermediate,8,7,reviewed,https://en.wikipedia.org/wiki/GENIUS_Act,stablecoins; regulation; crypto-policy; 2025
where-wizards-stay-up-late,Where Wizards Stay Up Late: The Origins of the Internet,"Katie Hafner, Matthew Lyon",1996,Book,Internet and Big Tech History,Internet Origins,Beginner,8,6,reviewed,,internet-history; arpanet; packet-switching; networking
steve-jobs-stanford-2005,Stanford Commencement Address (2005),Steve Jobs,2005,Talk,Founder Mental Models,Vision & Motivation,Beginner,8,6,reviewed,https://news.stanford.edu/2005/06/12/youve-got-find-love-jobs-says/,motivation; vision; career; classic-talk
design-sprint-masterclass,Design Sprint Masterclass,AJ&Smart,,Course,Product and Design,Design practice,Beginner,7,7,reviewed,https://go.ajsmart.com/masterclass,design sprint; facilitation; workshop; course
the-clean-coder,The Clean Coder,Robert C. Martin,2011,Book,Engineering and Systems,Team practices,Intermediate,7,7,reviewed,https://www.pearson.com/en-us/subject-catalog/p/clean-coder-the-a-code-of-conduct-for-professional-programmers/P200000009045/9780132542883,professionalism; engineering; book; craft
cs106e-ai-machine-learning-notes,AI & Machine Learning (Stanford CS106E Lecture Notes),Stanford CS106E,,Lecture Notes (PDF),AI Foundations,Intro explainers,Beginner,8,6,reviewed,https://web.stanford.edu/class/cs106e/lectureNotes/L23NAIMachineLearning.pdf,ai; machine-learning; intro; stanford; lecture-notes
cmu-15780-intro-ai,Introduction to Graduate Artificial Intelligence (CMU 15-780),Carnegie Mellon University 15-780,,Lecture Slides (PDF),AI Foundations,Course material,Advanced,8,6,reviewed,https://www.cs.cmu.edu/~15780/15-780_files/lecture_slides/Lecture1_intro.pdf,ai; cmu; graduate-course; foundations
allan-dafoe-ai-talks,Allan Dafoe — AI Governance & Safety Talks,Allan Dafoe,,Talk Collection,AI in Practice,AI safety & governance,Intermediate,8,6,reviewed,https://www.allandafoe.com/ai-talks,ai-safety; ai-governance; policy; deepmind
ui-talks-product-management,UI Talks — Product Management (Curated Collection),UI Patterns (UI Talks),,Talk Collection,Product and Design,Product management,Intermediate,7,7,reviewed,https://talks.ui-patterns.com/topics/product-management,product-management; talks; curated; strategy
the-intelligence-age,The Intelligence Age,Sam Altman,2024,Essay,AI in Practice,AI vision,Beginner,7,7,reviewed,https://ia.samaltman.com/,ai; abundance; platform-shift; openai
super-founders,Super Founders,Ali Tamaseb,2021,Book,Startup History,Founder data,Intermediate,7,7,reviewed,,founders; data; unicorns; myths
hooked-how-to-build-habit-forming-products,Hooked: How to Build Habit-Forming Products,Nir Eyal,2014,Book,Product and Design,Behavioral design,Beginner,7,7,reviewed,,habits; engagement; behavioral-design; ethics
the-tyranny-of-the-marginal-user,The Tyranny of the Marginal User,Ivan Vendrov,2022,Essay,Product and Design,Product decay,Intermediate,7,7,recommended,https://nothinghuman.substack.com/p/the-tyranny-of-the-marginal-user,product; metrics; enshittification; ux
valley-of-genius,Valley of Genius,Adam Fisher,2018,Book,Internet and Big Tech History,Oral history,Beginner,7,7,reviewed,,oral-history; silicon-valley; lore; history
the-social-network,The Social Network,David Fincher (dir.) / Aaron Sorkin,2010,Film,Documentary and Long-Form Media,Founder mythology,Beginner,7,7,recommended,,facebook; film; founders; culture
meditations-on-moloch,Meditations on Moloch,Scott Alexander,2014,Essay,Founder Mental Models,Coordination & game theory,Advanced,7,7,reviewed,https://slatestarcodex.com/2014/07/30/meditations-on-moloch/,coordination; game-theory; incentives; rationalism
web3-is-going-just-great,Web3 Is Going Just Great,Molly White,2021,Website / running ledger,Crypto and Web3,Critique,Beginner,7,7,reviewed,https://www.web3isgoinggreat.com/,crypto; critique; scams; skepticism
where-is-my-flying-car,Where Is My Flying Car?,J. Storrs Hall,2018,Book,"Climate, Energy, and Deep Tech",Stagnation & progress,Intermediate,7,7,reviewed,,deep-tech; energy; stagnation; progress
how-to-avoid-a-climate-disaster,How to Avoid a Climate Disaster,Bill Gates,2021,Book,"Climate, Energy, and Deep Tech",Climate strategy,Beginner,7,7,reviewed,,climate; net-zero; green-premium; deep-tech
blitzscaling,Blitzscaling,Reid Hoffman & Chris Yeh,2018,Book,Global Tech and Non-US Ecosystems,Scaling & global competition,Intermediate,7,7,reviewed,,scaling; winner-take-most; china; strategy
remote-office-not-required,Remote: Office Not Required,Jason Fried & David Heinemeier Hansson,2013,Book,Future of Work and Labor,Remote work,Beginner,7,7,reviewed,,remote-work; async; culture; management
a-world-without-email,A World Without Email,Cal Newport,2021,Book,Future of Work and Labor,Knowledge work,Beginner,7,7,reviewed,,productivity; email; focus; knowledge-work
the-pentagon-s-brain,The Pentagon's Brain,Annie Jacobsen,2015,Book,"Defense, Gov, and Public Tech",DARPA history,Intermediate,8,6,reviewed,,darpa; defense; history; r-and-d
ai-2027,AI 2027,"AI Futures Project (Kokotajlo, Lifland, Larsen, Dean)",2025,Scenario forecast,AI in Practice,AGI forecasting,Intermediate,7,7,recommended,https://ai-2027.com/,agi; forecast; race-dynamics; scenario
nexus-a-brief-history-of-information-networks,Nexus: A Brief History of Information Networks,Yuval Noah Harari,2024,Book,Internet and Big Tech History,Information & power,Beginner,7,7,reviewed,,information; history; ai; society
something-ventured-documentary,Something Ventured,"Dan Geller, Dayna Goldfine",2011,Documentary,Documentary and Long-Form Media,Venture History,Beginner,7,6,reviewed,,documentary; venture-capital; silicon-valley; history
triumph-of-the-nerds,Triumph of the Nerds,Robert X. Cringely,1996,Documentary,Documentary and Long-Form Media,PC History,Beginner,7,6,reviewed,https://www.pbs.org/nerds/,documentary; personal-computing; apple; microsoft; history
edx-columbia-ai-study-guide,Artificial Intelligence (AI) by edX — Columbia University (Study Guide),"Josh Wentz (notes on Columbia CSMM.101x, Ansaf Salleb-Aouissi)",,Study Guide (Article),AI Foundations,Course notes,Intermediate,7,6,reviewed,https://medium.com/@joshwentz/artificial-intelligence-ai-by-edx-2ae1067103c8,ai; course-notes; edx; columbia; self-study
pirates-of-silicon-valley,Pirates of Silicon Valley,Martyn Burke (dir.),1999,Film,Documentary and Long-Form Media,Founder mythology,Beginner,7,6,reviewed,,apple; microsoft; jobs; gates
the-californian-ideology,The Californian Ideology,Richard Barbrook & Andy Cameron,1995,Essay,Internet and Big Tech History,Tech culture critique,Advanced,7,6,reviewed,,tech-politics; ideology; critique; culture
snow-crash,Snow Crash,Neal Stephenson,1992,Book,Internet and Big Tech History,Sci-fi & tech imagination,Intermediate,7,6,reviewed,,metaverse; sci-fi; cyberpunk; vr
going-infinite-the-rise-and-fall-of-a-new-tycoon,Going Infinite: The Rise and Fall of a New Tycoon,Michael Lewis,2023,Book,Crypto and Web3,Fraud & collapse,Beginner,7,6,reviewed,,ftx; sbf; fraud; effective-altruism
number-go-up,Number Go Up,Zeke Faux,2023,Book,Crypto and Web3,Critique,Beginner,7,6,reviewed,,crypto; tether; bubble; critique
read-write-own,Read Write Own,Chris Dixon,2024,Book,Crypto and Web3,Web3 thesis,Beginner,7,6,reviewed,,web3; tokens; ownership; a16z
speed-scale,Speed & Scale,John Doerr,2021,Book,"Climate, Energy, and Deep Tech",Climate execution,Beginner,7,6,reviewed,,climate; okrs; execution; venture
the-billionaire-raj,The Billionaire Raj,James Crabtree,2018,Book,Global Tech and Non-US Ecosystems,India,Intermediate,7,6,reviewed,,india; markets; inequality; ecosystems
bullshit-jobs,Bullshit Jobs,David Graeber,2018,Book,Future of Work and Labor,Meaning of work,Beginner,7,6,reviewed,,work; meaning; automation; labor
rise-of-the-robots,Rise of the Robots,Martin Ford,2015,Book,Future of Work and Labor,Automation,Beginner,7,6,reviewed,,automation; jobs; ubi; labor
996-icu,996.ICU,Chinese tech workers (GitHub),2019,Open repository / movement,Future of Work and Labor,Labor & culture,Beginner,7,6,reviewed,https://github.com/996icu/996.ICU,996; overwork; china; labor
the-ai-doc-or-how-i-became-an-apocaloptimist,The AI Doc: Or How I Became an Apocaloptimist,Daniel Roher & Charlie Tyrell (dir.),2026,Documentary,Documentary and Long-Form Media,AI & society,Beginner,7,6,reviewed,,documentary; ai; sundance; 2026
ghost-in-the-machine,Ghost in the Machine,Valerie Veatch (dir.),2026,Documentary,Documentary and Long-Form Media,AI critique & history,Intermediate,7,6,reviewed,,documentary; ai-history; critique; ethics
canon-of-design-product-management,The Canon of Design for a New Journey in Product Management,Rajiv Kaul (Intelligaia),,Slides,Product and Design,Design-led product,Beginner,6,6,reviewed,https://pt.slideshare.net/slideshow/canon-of-design-for-a-new-journey-in-product-management/66867250,product-management; design; design-systems; slides
agi-ruin-a-list-of-lethalities,AGI Ruin: A List of Lethalities,Eliezer Yudkowsky,2022,Essay,AI in Practice,AI risk,Advanced,6,6,reviewed,https://www.lesswrong.com/posts/uMQ3CqWDPHhjtiesc/agi-ruin-a-list-of-lethalities,ai-safety; alignment; x-risk; rationalism
chaos-monkeys,Chaos Monkeys,Antonio García Martínez,2016,Book,Internet and Big Tech History,Insider memoir,Beginner,6,6,reviewed,,memoir; facebook; ad-tech; yc
the-social-dilemma,The Social Dilemma,Jeff Orlowski (dir.),2020,Documentary,Documentary and Long-Form Media,Tech & society,Beginner,6,6,reviewed,,social-media; attention; ethics; documentary
rebuild-the-arsenal-of-democracy-anduril,Rebuild the Arsenal of Democracy (Anduril),Palmer Luckey / Anduril,2024,Manifesto / essay,"Defense, Gov, and Public Tech",Defense startups,Beginner,6,6,reviewed,,anduril; defense-tech; manifesto; industrial-base
if-anyone-builds-it-everyone-dies,"If Anyone Builds It, Everyone Dies",Eliezer Yudkowsky & Nate Soares,2025,Book,AI in Practice,AI risk,Beginner,6,6,reviewed,https://ifanyonebuildsit.com/,ai-safety; x-risk; alignment; doom
